tax_id,sotus
201490,['u17499']
204269,['u16954']
204711,"['u733204', 'u508699', 'u3729']"
206160,"['u658563', 'u5265']"
2169991,['u943']
237020,"['u614350', 'u488146', 'u863136', 'u734031', 'u885735']"
249584,['u16483']
2547357,['u22510']
2547358,['u22509']
2560525,['u548']
2560580,['u18450']
2593991,['u253503']
2748252,['u659542']
2748253,"['u18951', 'u1056565']"
2748254,['u18952']
28344,"['u276767', 'u200060', 'u994', 'u184345', 'u243312', 'u743088', 'u736734', 'u243431', 'u1680', 'u112435', 'u389350', 'u184358', 'u20448']"
2886894,['u6381']
28875,"['u4687', 'u2449', 'u198452', 'u198969', 'u618960', 'u655859', 'u11178', 'u792303', 'u303211', 'u174487', 'u18720', 'u491643', 'u15152', 'u28250', 'u285409', 'u266165', 'u823709', 'u760703', 'u18825', 'u973577']"
28876,"['u2793', 'u25569', 'u23246', 'u7290']"
290008,['u8719']
2905673,"['u961361', 'u748646', 'u148722']"
2905917,['u5525']
291484,"['u555080', 'u656582', 'u486081', 'u12233', 'u283925', 'u454830', 'u439890', 'u357352', 'u190602', 'u1059371', 'u1044971', 'u733019', 'u867851', 'u5536', 'u1010160', 'u66257', 'u844052', 'u417481', 'u1022176', 'u855507', 'u1021156', 'u26958', 'u780278', 'u91440', 'u1297', 'u340505', 'u501325', 'u569955', 'u497896', 'u383457', 'u90904', 'u565405', 'u25198', 'u899400', 'u710999', 'u1061268', 'u516043', 'u914141', 'u406775', 'u475080', 'u13577', 'u637708', 'u186534', 'u334369', 'u25341', 'u125778', 'u42720']"
292278,['u7112']
307164,['u23780']
31612,"['u6734', 'u419816', 'u866296', 'u617110']"
31631,"['u111830', 'u7986']"
318836,['u17481']
33743,['u550']
348013,['u8200']
351073,['u149303']
352236,"['u473002', 'u559622', 'u21349', 'u978470', 'u514679', 'u583895']"
35307,['u27014']
35316,"['u17968', 'u20538']"
356862,['u24970']
358764,"['u784352', 'u23650', 'u12743']"
37124,['u238237']
380433,['u13039']
380434,['u19742']
380438,['u21664']
380440,['u25133']
38143,"['u25165', 'u9527', 'u988516']"
38837,['u5029']
40050,['u229982']
40051,"['u10830', 'u22180', 'u17980', 'u17071']"
40052,"['u17557', 'u3295', 'u21412', 'u13023', 'u17974', 'u955577']"
40054,"['u1971', 'u656057']"
40056,['u17460']
40057,['u22066']
40058,"['u177462', 'u24190']"
40059,"['u23818', 'u269474']"
40062,['u5284']
40067,['u38034']
44024,"['u8640', 'u9322']"
44025,['u6549']
44026,['u3824']
44158,['u38985']
46839,"['u781695', 'u718542', 'u687848', 'u708769']"
47000,['u19955']
50713,['u906831']
54290,"['u824', 'u26426', 'u485149', 'u10719', 'u547455']"
54315,"['u388976', 'u483645', 'u3278']"
57482,['u833164']
590647,['u14724']
59300,"['u8555', 'u466536']"
59301,['u258']
59302,"['u918778', 'u26157']"
59305,['u29504']
59563,"['u23268', 'u2384']"
62352,['u810483']
629735,['u19626']
64280,['u7423']
64281,['u23531']
64282,['u12790']
64283,['u5172']
64285,['u5475']
64286,['u29609']
64289,['u17707']
64292,['u15992']
64293,"['u7492', 'u45333']"
64294,"['u6331', 'u19445']"
64295,['u6076']
64298,"['u14846', 'u648909']"
64299,"['u978625', 'u7358']"
64300,['u23519']
64301,['u14847']
64302,"['u14790', 'u840961']"
64303,['u24766']
64305,['u4758']
64309,['u16791']
64312,['u6854']
64320,"['u761698', 'u39248', 'u691399', 'u1021716', 'u741']"
686984,"['u6152', 'u3632', 'u15161']"
688436,"['u686595', 'u25189']"
70566,['u23058']
75888,['u16052']
77763,"['u6048', 'u286260', 'u892960']"
80939,['u6349']
80941,"['u9230', 'u777054']"
904679,['u5523']
904698,['u6944']
909207,['u6359']
92129,['u15499']
95340,[]
122929,[]
122928,[]
150080,[]
262897,[]
1514709,[]
559497,[]
336622,[]
305816,[]
1246678,[]
357231,[]
1117777,[]
485720,[]
673457,[]
2547355,[]
33714,[]
1170505,[]
64304,[]
64308,[]
64313,[]
1730928,[]
374408,[]
881914,[]
40064,[]
10942,[]
449582,[]
28877,[]
35328,[]
94967,[]
1538452,[]
42789,[]
1141754,[]
58535,[]
12074,[]
35295,[]
12075,[]
47512,[]
172038,[]
181833,[]
37300,[]
449142,[]
12118,[]
297248,[]
86107,[]
42773,[]
42786,[]
39054,[]
42785,[]
31704,[]
1917079,[]
499854,[]
44027,[]
515180,[]
1960022,[]
1960023,[]
1960014,[]
673814,[]
673818,[]
106333,[]
1398551,[]
358733,[]
358735,[]
1697440,[]
1454551,[]
1304603,[]
1304602,[]
1280920,[]
1071407,[]
1071406,[]
673806,[]
673825,[]
673822,[]
673823,[]
547067,[]
335811,[]
179877,[]
11060,[]
11053,[]
11070,[]
208893,[]
208895,[]
2697049,[]
1508227,[]
2905673,[]
442851,[]
64306,[]
12086,[]
12089,[]
12080,[]
42774,[]
42782,[]
10968,[]
11135,[]
64315,[]
11156,[]
12124,[]
159079,[]
12101,[]
2200757,[]
12063,[]
1228911,[]
64317,[]
871649,[]
2830712,[]
3029005,[]
2996227,[]
2996226,[]
2996224,[]
2970572,[]
2962602,[]
2951464,[]
2941073,[]
2941078,[]
2936957,[]
2936958,[]
2941076,[]
2941077,[]
2941072,[]
2946060,[]
2905619,[]
2903082,[]
2902944,[]
2905611,[]
2830713,[]
1229326,[]
1530451,[]
1674928,[]
2021912,[]
2021913,[]
2021911,[]
2055261,[]
2116394,[]
2116395,[]
2116399,[]
2116397,[]
2116400,[]
2116396,[]
2116484,[]
2152923,[]
2171386,[]
2185281,[]
2708636,[]
2715178,[]
2739892,[]
2797850,[]
2796359,[]
2796360,[]
2803564,[]
2803187,[]
2824491,[]
2824493,[]
2824492,[]
2824486,[]
2824487,[]
2824485,[]
2824494,[]
2824489,[]
2824500,[]
2824496,[]
2824499,[]
2824484,[]
2824497,[]
2824498,[]
2832082,[]
2054593,[]
1678146,[]
1678144,[]
1678145,[]
1678143,[]
3003971,[]
2969588,[]
2969591,[]
1016879,[]
1216472,[]
2907992,[]
1213422,[]
63421,[]
1129347,[]
2057976,[]
2057975,[]
1293842,[]
380335,[]
859631,[]
986701,[]
762395,[]
1347345,[]
1141710,[]
768646,[]
506038,[]
210670,[]
173477,[]
1548043,[]
1445068,[]
1315807,[]
1315812,[]
981230,[]
2050876,[]
1315825,[]
500385,[]
11226,[]
11077,[]
449278,[]
658048,[]
170528,[]
10941,[]
44130,[]
147714,[]
167330,[]
167325,[]
167328,[]
185900,[]
47001,[]
185904,[]
185890,[]
185896,[]
185909,[]
167322,[]
185934,[]
185935,[]
909668,[]
2169992,[]
2169994,[]
2008762,[]
1933303,[]
1821750,[]
2560580,[]
